date,Civilization VI,GTA V,Rocket League,The Witcher 3
2016.09.06,,42036.0,40812.0,12976.0
2016.09.07,,42655.0,42251.0,12789.0
2016.09.08,,41269.0,44014.0,12393.0
2016.09.09,,47331.0,76167.0,12074.0
2016.09.10,,55782.0,79413.0,16135.0
2016.09.11,,55988.0,80025.0,17809.0
2016.09.12,,43309.0,68788.0,12738.0
2016.09.13,,42865.0,61053.0,12054.0
2016.09.14,,43659.0,56181.0,11258.0
2016.09.15,,43226.0,57467.0,11600.0
2016.09.16,,47133.0,61065.0,11773.0
2016.09.17,,53337.0,63489.0,15640.0
2016.09.18,,54826.0,64718.0,17416.0
2016.09.19,,41857.0,57660.0,12522.0
2016.09.20,,40989.0,53277.0,11670.0
2016.09.21,,40523.0,50638.0,11388.0
2016.09.22,,39631.0,51560.0,11041.0
2016.09.23,,49056.0,54657.0,11229.0
2016.09.24,,59874.0,56495.0,14570.0
2016.09.25,,61787.0,59264.0,16277.0
2016.09.26,,48637.0,52376.0,11863.0
2016.09.27,,48757.0,46962.0,10904.0
2016.09.28,,47200.0,47185.0,10829.0
2016.09.29,,46113.0,47652.0,10873.0
2016.09.30,,50700.0,52476.0,10794.0
2016.10.01,,59108.0,55813.0,14694.0
2016.10.02,,61627.0,55884.0,16685.0
2016.10.03,,49836.0,51082.0,12611.0
2016.10.04,,66428.0,55976.0,11683.0
2016.10.05,,67954.0,54049.0,11294.0
2016.10.06,,64572.0,53028.0,10914.0
2016.10.07,,65992.0,54887.0,10927.0
2016.10.08,,78094.0,57106.0,14189.0
2016.10.09,,78643.0,59188.0,16066.0
2016.10.10,,58582.0,54741.0,12422.0
2016.10.11,,56915.0,49079.0,10621.0
2016.10.12,,57386.0,55343.0,10762.0
2016.10.13,,54651.0,53206.0,10145.0
2016.10.14,,60490.0,54720.0,10402.0
2016.10.15,,71632.0,57035.0,13640.0
2016.10.16,,68420.0,59596.0,15164.0
2016.10.17,,49553.0,51569.0,10958.0
2016.10.18,,50258.0,53869.0,10255.0
2016.10.19,,50511.0,52003.0,10062.0
2016.10.20,,49802.0,52360.0,9938.0
2016.10.21,142779.0,56285.0,56064.0,10947.0
2016.10.22,162475.0,65120.0,56293.0,15369.0
2016.10.23,155999.0,63183.0,56396.0,17904.0
2016.10.24,132443.0,47453.0,49408.0,13618.0
2016.10.25,98613.0,48196.0,46885.0,12546.0
2016.10.26,90866.0,54382.0,45973.0,11920.0
2016.10.27,86922.0,57985.0,47491.0,11686.0
2016.10.28,89317.0,71726.0,50313.0,11155.0
2016.10.29,110001.0,85494.0,52276.0,14640.0
2016.10.30,107894.0,86008.0,54099.0,16237.0
2016.10.31,90814.0,69218.0,46514.0,11916.0
